n,BestCase,AverageCase,WorstCase
100,350,145,157
200,123,151,94
300,65,89,71
400,68,90,63
500,67,95,67
600,69,97,69
700,67,99,74
800,71,102,73
900,73,102,75
1000,81,106,77
1100,81,128,93
1200,82,114,82
1300,85,110,92
1400,88,114,94
1500,90,112,91
1600,84,120,82
1700,88,111,98
1800,92,121,86
1900,101,124,108
2000,98,126,98
2100,125,133,134
2200,100,133,115
2300,102,236,126
2400,136,225,202
2500,120,609,573
2600,325,382,281
2700,245,213,223
2800,202,703,151
2900,1396,365,65839
3000,475,387,313
3100,788,391,1202
3200,259,250,211
3300,272,253,251
3400,145,228,178
3500,209,194,177
3600,231,1527,368
3700,483,386,195
3800,422,229,151
3900,138,163,140
4000,126,165,134
4100,162,160,134
4200,180,165,140
4300,153,171,138
4400,135,166,138
4500,128,175,131
4600,125,167,134
4700,194,172,188
4800,128,159,129
4900,119,167,132
5000,124,160,135
5100,130,184,136
5200,220,230,161
5300,145,213,173
5400,151,217,146
5500,203,197,187
5600,136,211,145
5700,197,296,149
5800,180,230,213
5900,181,206,191
6000,252,210,193
6100,188,226,208
6200,119,162,122
6300,85,110,80
6400,71,92,68
6500,58,91,60
6600,52,96,55
6700,51,92,72
6800,53,92,58
6900,59,134,64
7000,84,106,66
7100,54,104,64
7200,67,95,77
7300,51,99,87
7400,77,109,91
7500,57,106,82
7600,58,96,61
7700,58,106,79
7800,64,96,69
7900,54,105,65
8000,71,99,92
8100,73,105,65
8200,58,109,68
8300,53,110,76
8400,73,115,83
8500,96,112,102
8600,64,123,67
8700,69,95,69
8800,47,124,61
8900,57,113,71
9000,61,100,80
9100,63,120,90
9200,63,105,86
9300,77,100,83
9400,61,97,75
9500,73,105,76
9600,63,107,85
9700,59,116,83
9800,91,113,82
9900,73,132,124
10000,74,95,69
10100,76,108,67
10200,73,105,62
10300,71,106,198
10400,72,101,67
10500,56,101,71
10600,58,115,74
10700,100,111,75
10800,57,106,70
10900,57,99,71
11000,89,138,108
11100,61,126,79
11200,57,103,65
11300,52,119,70
11400,55,103,70
11500,57,104,68
11600,61,104,67
11700,53,106,69
11800,61,101,69
11900,58,112,88
12000,62,105,71
12100,58,104,67
12200,58,104,71
12300,57,104,80
12400,56,103,67
12500,56,102,64
12600,58,104,68
12700,60,104,69
12800,61,105,69
12900,59,117,77
13000,56,105,78
13100,61,105,71
13200,64,108,65
13300,58,120,75
13400,62,107,70
13500,59,113,71
13600,64,107,74
13700,59,104,70
13800,60,107,69
13900,59,104,67
14000,58,105,80
14100,63,106,75
14200,60,133,79
14300,75,122,88
14400,83,131,88
14500,97,130,125
14600,82,112,111
14700,62,106,72
14800,60,126,78
14900,62,108,76
15000,58,106,70
15100,62,113,74
15200,64,114,79
15300,63,114,72
15400,62,109,74
15500,64,111,79
15600,64,111,82
15700,64,123,78
15800,63,109,77
15900,67,111,85
16000,60,115,75
16100,62,111,76
16200,64,115,75
16300,61,111,73
16400,71,142,111
16500,203,133,138
16600,70,109,83
16700,64,110,83
16800,71,110,81
16900,91,119,102
17000,79,115,90
17100,67,124,102
17200,68,114,80
17300,66,112,88
17400,66,209,114
17500,149,140,120
17600,96,127,110
17700,94,175,109
17800,109,153,134
17900,118,124,113
18000,70,114,95
18100,89,117,91
18200,69,112,85
18300,71,126,110
18400,105,119,120
18500,73,112,82
18600,69,116,79
18700,71,115,84
18800,72,113,86
