n,BestCase,AverageCase,WorstCase
100,3678,13096,12020
200,1313,113182,87439
500,602,26130,31509
1000,1112,80331,110336
2000,2208,249392,380637
5000,3907,1410931,2144402
10000,6915,5580710,8665187
100000,71445,568508900,956806469
