r,c,BC,AC,WC
22900,2,-1,482992,-1
23000,2,-1,473195,-1
23100,2,-1,466945,-1
23200,2,-1,476294,-1
23300,2,-1,472909,-1
23400,2,-1,475991,-1
23500,2,-1,504675,-1
23600,2,-1,474901,-1
23700,2,-1,490289,-1
23800,2,-1,482230,-1
23900,2,-1,485147,-1
24000,2,-1,488342,-1
24100,2,-1,496130,-1
24200,2,-1,511706,-1
24300,2,-1,499460,-1
24400,2,-1,497850,-1
24500,2,-1,491050,-1
24600,2,-1,493124,-1
24700,2,-1,504503,-1
24800,2,-1,770970,-1
24900,2,-1,516783,-1
25000,2,-1,494081,-1
25100,2,-1,504443,-1
25200,2,-1,507353,-1
25300,2,-1,542109,-1
25400,2,-1,515225,-1
25500,2,-1,506426,-1
25600,2,-1,538558,-1
25700,2,-1,529267,-1
25800,2,-1,533233,-1
25900,2,-1,527984,-1
26000,2,-1,537178,-1
26100,2,-1,586984,-1
26200,2,-1,565837,-1
26300,2,-1,519398,-1
26400,2,-1,541756,-1
26500,2,-1,542888,-1
26600,2,-1,787456,-1
26700,2,-1,577453,-1
26800,2,-1,585198,-1
26900,2,-1,584842,-1
27000,2,-1,583041,-1
27100,2,-1,601260,-1
27200,2,-1,591996,-1
27300,2,-1,581535,-1
27400,2,-1,608485,-1
27500,2,-1,562236,-1
27600,2,-1,584266,-1
27700,2,-1,565242,-1
27800,2,-1,618174,-1
27900,2,-1,638666,-1
28000,2,-1,628174,-1
28100,2,-1,594987,-1
28200,2,-1,629850,-1
28300,2,-1,645911,-1
28400,2,-1,820768,-1
28500,2,-1,1201201,-1
28600,2,-1,763320,-1
28700,2,-1,753212,-1
28800,2,-1,677082,-1
28900,2,-1,718092,-1
29000,2,-1,703702,-1
29100,2,-1,625905,-1
29200,2,-1,640613,-1
29300,2,-1,700007,-1
29400,2,-1,744244,-1
29500,2,-1,639076,-1
29600,2,-1,633269,-1
29700,2,-1,648853,-1
29800,2,-1,667267,-1
29900,2,-1,640649,-1
30000,2,-1,640367,-1
30100,2,-1,674023,-1
30200,2,-1,648859,-1
30300,2,-1,996211,-1
30400,2,-1,795201,-1
30500,2,-1,654526,-1
30600,2,-1,670558,-1
30700,2,-1,703471,-1
30800,2,-1,757735,-1
30900,2,-1,727629,-1
31000,2,-1,671824,-1
31100,2,-1,743227,-1
31200,2,-1,739953,-1
31300,2,-1,758933,-1
31400,2,-1,850630,-1
31500,2,-1,1137934,-1
31600,2,-1,1082530,-1
31700,2,-1,1485549,-1
31800,2,-1,986790,-1
31900,2,-1,1100057,-1
32000,2,-1,1266273,-1
32100,2,-1,1226313,-1
32200,2,-1,1893181,-1
32300,2,-1,1271704,-1
32400,2,-1,889120,-1
32500,2,-1,869647,-1
32600,2,-1,862649,-1
32700,2,-1,794399,-1
32800,2,-1,859411,-1
32900,2,-1,992355,-1
33000,2,-1,938269,-1
33100,2,-1,849644,-1
33200,2,-1,800037,-1
33300,2,-1,900742,-1
33400,2,-1,896112,-1
33500,2,-1,844198,-1
33600,2,-1,845362,-1
33700,2,-1,850579,-1
33800,2,-1,1047034,-1
33900,2,-1,1514081,-1
34000,2,-1,842774,-1
34100,2,-1,857030,-1
34200,2,-1,899014,-1
34300,2,-1,841067,-1
34400,2,-1,879946,-1
34500,2,-1,898424,-1
34600,2,-1,934907,-1
34700,2,-1,832011,-1
34800,2,-1,864128,-1
34900,2,-1,1062433,-1
35000,2,-1,1107586,-1
35100,2,-1,917848,-1
35200,2,-1,913779,-1
35300,2,-1,892553,-1
35400,2,-1,976341,-1
35500,2,-1,1666387,-1
35600,2,-1,951170,-1
35700,2,-1,1254212,-1
35800,2,-1,1011870,-1
35900,2,-1,955369,-1
36000,2,-1,1048648,-1
36100,2,-1,977488,-1
36200,2,-1,1023791,-1
36300,2,-1,869882,-1
36400,2,-1,871086,-1
36500,2,-1,884941,-1
36600,2,-1,881627,-1
36700,2,-1,918144,-1
36800,2,-1,922510,-1
36900,2,-1,1437698,-1
37000,2,-1,1199362,-1
37100,2,-1,982375,-1
37200,2,-1,938923,-1
37300,2,-1,991722,-1
37400,2,-1,1098079,-1
37500,2,-1,950708,-1
37600,2,-1,943379,-1
37700,2,-1,921574,-1
37800,2,-1,919621,-1
37900,2,-1,948599,-1
38000,2,-1,1021254,-1
