n,BC,AC,WC
3,-1,238,-1
4,-1,146,-1
5,-1,130,-1
6,-1,175,-1
7,-1,401,-1
8,-1,492,-1
9,-1,1378,-1
10,-1,1362,-1
11,-1,3845,-1
12,-1,4251,-1
13,-1,17859,-1
14,-1,18776,-1
15,-1,77829,-1
16,-1,69390,-1
17,-1,226998,-1
18,-1,204227,-1
19,-1,785408,-1
20,-1,806394,-1
21,-1,3181208,-1
22,-1,3242068,-1
23,-1,12783484,-1
24,-1,13138897,-1
25,-1,51622285,-1
26,-1,52409455,-1
27,-1,206789489,-1
